baseline_date,projected_fiscal_year,debt_billions,GDP,debt_pct_GDP
01/02/1984,1989,2519,5554.675,45.34918785
01/02/1985,1990,2331,5898.75,39.51684679
01/02/1986,1991,2485,6093.175,40.78333545
01/02/1987,1992,2700,6416.25,42.08065459
01/03/1988,1993,2758,6775.325,40.70653437
01/02/1989,1994,2878,7176.85,40.10115859
01/03/1990,1995,3451,7560.425,45.64558209
01/03/1991,1996,4061,7951.325,51.0732488
01/03/1992,1997,4484,8451.025,53.05865265
01/03/1993,1998,4260,8930.8,47.70009406
01/04/1994,1999,4621,9479.625,48.74665401
01/04/1995,2000,4687,10117.075,46.3276194
01/05/1996,2001,4534,10525.725,43.07541761
01/03/1997,2002,3743,10828.875,34.56499406
01/03/1998,2003,2979,11278.75,26.41250139
01/04/1999,2004,2285,12028.425,18.99666831
01/04/2000,2005,1738,12839.95,13.53587825
01/05/2001,2006,3099,13636.75,22.72535611
01/03/2002,2007,4233,14305.375,29.59027638
01/03/2003,2008,5633,14796.575,38.06962084
01/03/2004,2009,5737,14467.3,39.65494598
01/03/2005,2010,5934,14884.4,39.86724356
01/03/2006,2011,5502,15466.525,35.5736017
01/03/2007,2012,5845,16109.425,36.28310756
01/03/2008,2013,10016,16687.775,60.01998469
01/03/2009,2014,11606,17428.1,66.59360458
01/03/2010,2015,13554,18164.25,74.61910071
01/03/2011,2016,13263,18641.325,71.14837599
01/03/2012,2017,14223,19375.175,73.40836921
01/05/2013,2018,15202,20436.325,74.38715131
01/04/2014,2019,15654,21286.15,73.54077651
01/03/2015,2020,16771,21336.775,78.60138189
01/03/2016,2021,18037,23044.05,78.27183156
01/06/2017,2022,20290,25565.375,79.36515698
01/05/2018,2023,20910,27397.95,76.31957865
01/05/2019,2025,22338,30850,72.40842788
01/03/2020,2026,26967,27359,98.56719909
01/07/2021,2027,28925.093,28271,102.3136536
01/05/2022,2028,32645.29,31251,104.4615852
01/02/2023,2028,32865.63,31251,105.1666507
01/05/2023,2029,35140.639,33043,106.3482099
01/02/2024,2029,35959.838,33043,108.8274007
01/06/2024,2030,37580.5,35047,107.2288641
01/01/2025,,,,
