baseline_date,projected_fiscal_year,debt_billions,GDP,debt_pct_GDP
01/02/1984,1989,2519.0,5554.675,45.34918784627363
01/02/1985,1990,2331.0,5898.75,39.51684678957406
01/02/1986,1991,2485.0,6093.175,40.78333545319148
01/02/1987,1992,2700.0,6416.25,42.08065458796026
01/03/1988,1993,2758.0,6775.325,40.70653437288986
01/02/1989,1994,2878.0,7176.85,40.10115858628785
01/03/1990,1995,3451.0,7560.425,45.64558209359924
01/03/1991,1996,4061.0,7951.325,51.07324879815628
01/03/1992,1997,4484.0,8451.025,53.05865264864321
01/03/1993,1998,4260.0,8930.8,47.7000940565235
01/04/1994,1999,4621.0,9479.625,48.746654007938076
01/04/1995,2000,4687.0,10117.075,46.327619395922234
01/05/1996,2001,4534.0,10525.725,43.075417607813236
01/03/1997,2002,3743.0,10828.875,34.56499405524581
01/03/1998,2003,2979.0,11278.75,26.412501385348552
01/04/1999,2004,2285.0,12028.425,18.996668308610644
01/04/2000,2005,1738.0,12839.95,13.535878254977627
01/05/2001,2006,3099.0,13636.75,22.725356114910078
01/03/2002,2007,4233.0,14305.375,29.590276382129094
01/03/2003,2008,5633.0,14796.575,38.06962084130956
01/03/2004,2009,5737.0,14467.3,39.654945981627534
01/03/2005,2010,5934.0,14884.4,39.86724355701271
01/03/2006,2011,5502.0,15466.525,35.57360169786038
01/03/2007,2012,5845.0,16109.425,36.28310755970496
01/03/2008,2013,10016.0,16687.775,60.01998468939088
01/03/2009,2014,11606.0,17428.1,66.59360458110753
01/03/2010,2015,13554.0,18164.25,74.61910070605722
01/03/2011,2016,13263.0,18641.325,71.14837598722194
01/03/2012,2017,14223.0,19375.175,73.40836921472967
01/05/2013,2018,15202.0,20436.325,74.38715131022823
01/04/2014,2019,15654.0,21286.15,73.54077651430624
01/03/2015,2020,16771.0,21336.775,78.60138188643785
01/03/2016,2021,18037.0,23044.05,78.27183155738683
01/06/2017,2022,20290.0,25565.375,79.36515697501014
01/05/2018,2023,20910.0,27397.95,76.31957865460737
01/05/2019,2024,22338.0,28947.9,77.16621931124537
01/03/2020,2025,26967.0,30362.025,88.81818653400094
01/07/2021,2026,28925.093,28271.0,102.31365356725975
01/05/2022,2027,32645.29,31251.0,104.46158522927267
01/02/2023,2027,32865.63,31251.0,105.16665066717866
01/05/2023,2028,35140.639,33043.0,106.34820990830131
01/02/2024,2028,35959.838,33043.0,108.82740065974642
01/06/2024,2029,37580.5,35047.0,107.22886409678432
01/01/2025,2030,40279.639,37391.0,107.7254927656388
