dep_var,fiscal_var,fiscal_label,coef,se,pval,r2,n_obs
T10_yield,debt_trillions,Debt ($T),-0.10982285131976235,0.1310438819621172,0.41241516894800956,0.958310286637153,25
T10_yield,deficit_trillions,Deficit ($T),-0.8479990468516512,0.38939262976800454,0.032612324815543214,0.9387002189108268,80
fwd_5_10y,debt_trillions,Debt ($T),-0.07413540410035822,0.14518889066990262,0.6155032539912306,0.9469870218164754,25
fwd_5_10y,deficit_trillions,Deficit ($T),-1.4066348348099886,0.5551016706828797,0.013391923762186453,0.8959284138219936,80
fwd_10_15y,debt_trillions,Debt ($T),-0.02295945969485017,0.14421554213922505,0.8751895440967343,0.940891284231648,25
fwd_10_15y,deficit_trillions,Deficit ($T),-1.5657348090257077,0.5203926965880558,0.003584156328298338,0.8897672824300453,80
tprem_5y,debt_trillions,Debt ($T),-0.03345599518025906,0.08920932373433736,0.7117932072348174,0.8750654056631874,25
tprem_5y,deficit_trillions,Deficit ($T),-0.8232849704358284,0.33869645385007696,0.01749065673457828,0.7842276546497631,80
tprem_10y,debt_trillions,Debt ($T),-0.03294354784834824,0.1082066860345952,0.7640944028261045,0.8812165264756547,25
tprem_10y,deficit_trillions,Deficit ($T),-1.1667577519286363,0.46264968637469794,0.013823062392657626,0.7739940193429429,80
