dep_var,fiscal_var,coef,se,pval,r2,n_obs
T10_yield,debt_pct_GDP,-0.028783106861182576,0.01111707542127838,0.026992077100602474,0.9769894439847204,16
T10_yield,deficit_pct_GDP,0.19066493218954395,0.07865238871619196,0.03580682230487908,0.9783575387292991,16
fwd_5_10y,debt_pct_GDP,-0.041375056667742806,0.010602536674177439,0.0029496073926713606,0.9777511856173878,16
fwd_5_10y,deficit_pct_GDP,0.19964733516158095,0.09121575842515246,0.053449967173283985,0.9731208298292685,16
fwd_10_15y,debt_pct_GDP,-0.04454719279410584,0.009704991258262111,0.0009950484480671928,0.9830816627522837,16
fwd_10_15y,deficit_pct_GDP,0.18692240082813366,0.08160763331242521,0.04497531044453473,0.9746567565027544,16
tprem_5y,debt_pct_GDP,-0.02752179736220181,0.006666604973787321,0.002049718832981773,0.9294666495977728,16
tprem_5y,deficit_pct_GDP,0.13339726314848627,0.06399273974997491,0.06370739715979745,0.9135824725601626,16
tprem_10y,debt_pct_GDP,-0.03309915626854059,0.007994634276496678,0.0020112858307244075,0.941459724868117,16
tprem_10y,deficit_pct_GDP,0.1460823732474235,0.07366942877630965,0.07550197118438762,0.9236419142332787,16
